Dog       Larry     02Cristina       Williams       23 Palo Alto Street Christchurch   New Zealand
Rabbit    Tambor    01Mathew         Torres         14 Palo Alto Street  Christchurch   New Zealand
Cat       Ramona    10Isabel         Williams       13 Calle Principal  Santiago       Chile
Dog       Buddy     04Ana            Martínez      101 Maple Street    Auckland       New Zealand
Cat       Luna      03Marcelo        Rojas          45 Avenida Central  Valparaíso    Chile
Rabbit    Chispa    02Camila         González      89 Spring Lane      Wellington     New Zealand
Dog       Rocky     05José          Hernández     12 Calle Norte      Antofagasta    Chile
Cat       Misifú   06Laura          Sepúlveda     300 Oak Avenue      Hamilton       New Zealand
Rabbit    Blanquita 01Pedro          Silva          4 Garden Road       La Serena      Chile
Dog       Max       07Daniel         Anderson       77 Lakeview Drive   Tauranga       New Zealand
Cat       Nina      04Sofía         Torres         9 River Street      Punta Arenas   Chile
Rabbit    Orejas    03Tomás         Reyes          21 Baker Street     Dunedin        New Zealand
Dog       Toby      05Catalina       Moya           56 Pine Crescent    Nelson         New Zealand
Dog       Toby      05Catalina       Moya           56 Pine Crescent    Nelson         New Zealand
Dog       Toby      05Catalina       Moya           56 Pine Crescent    Nelson         New Zealand
