Dog,Larry,2,Cristina,Williams,23 Palo Alto Street,Christchurch,New Zealand
Rabbit,Tambor,1,Mathew,Torres,14 Palo Alto Street, Christchurch, New Zealand
Cat,Ramona,10,Isabel,Williams,13 Calle Principal,Santiago,Chile
Dog,Buddy,4,Ana,Martínez,101 Maple Street,Auckland,New Zealand
Cat,Luna,3,Marcelo,Rojas,45 Avenida Central,Valparaíso,Chile
Rabbit,Chispa,2,Camila,González,89 Spring Lane,Wellington,New Zealand
Dog,Rocky,5,José,Hernández,12 Calle Norte,Antofagasta,Chile
Cat,Misifú,6,Laura,Sepúlveda,300 Oak Avenue,Hamilton,New Zealand
Rabbit,Blanquita,1,Pedro,Silva,4 Garden Road,La Serena,Chile
Dog,Max,7,Daniel,Anderson,77 Lakeview Drive,Tauranga,New Zealand
Cat,Nina,4,Sofía,Torres,9 River Street,Punta Arenas,Chile
Rabbit,Orejas,3,Tomás,Reyes,21 Baker Street,Dunedin,New Zealand
Dog,Toby,5,Catalina,Moya,56 Pine Crescent,Nelson,New Zealand


